state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"Colorado",2005,"12-17y","Colorado",7.44,29.74,.9464286,1.913265,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2005,"18-25y","Colorado",21.43,18.47,1.683674,1.658163,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2005,"26+y","Colorado",5.32,32.95,.7295918,1.836735,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2006,"12+y","Colorado",8.24,28.42,.6964286,1.428571,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2006,"12-17y","Colorado",8.15,27.84,.8673469,1.734694,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2006,"18-25y","Colorado",22.21,16.89,1.709184,1.403061,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2006,"26+y","Colorado",5.88,30.45,.75,1.734694,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2007,"12+y","Colorado",9.24,28.37,.7984694,1.428571,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2007,"12-17y","Colorado",9.1,25.99,.9413266,1.632653,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2007,"18-25y","Colorado",23.44,16.29,1.785714,1.403061,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2007,"26+y","Colorado",6.88,30.68,.8903061,1.734694,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2008,"12+y","Colorado",9.82,26.77,.8928571,1.479592,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2008,"12-17y","Colorado",10.19,25.15,1.127551,1.658163,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2008,"18-25y","Colorado",24.31,14.95,1.811224,1.326531,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2008,"26+y","Colorado",7.36,28.94,.9846939,1.811224,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Connecticut",2002,"12+y","Connecticut",6.94,34.36,.6122449,1.734694,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2002,"12-17y","Connecticut",9.22,27.71,1.022959,1.785714,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2002,"18-25y","Connecticut",23.62,17.99,1.709184,1.377551,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2002,"26+y","Connecticut",4.22,37.62,.7040817,2.117347,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2003,"12+y","Connecticut",7.06,33.84,.5994898,1.734694,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2003,"12-17y","Connecticut",8.66,27.86,1.007653,1.709184,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2003,"18-25y","Connecticut",24.09,20.7,1.811224,1.479592,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2003,"26+y","Connecticut",4.31,36.59,.6377551,2.117347,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2004,"12+y","Connecticut",7.59,33.78,.6403061,1.683674,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2004,"12-17y","Connecticut",8.88,29.41,.9923469,1.734694,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2004,"18-25y","Connecticut",23.74,21.47,1.836735,1.581633,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2004,"26+y","Connecticut",4.95,36.24,.7397959,2.091837,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2005,"12+y","Connecticut",7.61,35.56,.6683673,1.734694,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2005,"12-17y","Connecticut",8.4,29.95,.9795918,1.709184,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2005,"18-25y","Connecticut",23.27,20.34,1.862245,1.683674,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2005,"26+y","Connecticut",5.09,38.65,.7397959,2.117347,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Connecticut",2006,"12+y","Connecticut",6.24,36.12,.5510204,1.556122,"2006-7","no","no",0,0,0,0,"no","no","Never MML","Never MML"
